Champion,Overall_Winrate,Aftershock_Winrate,Aftershock_Pickrate,Aftershock_Games,Arcane Comet_Winrate,Arcane Comet_Pickrate,Arcane Comet_Games,Conqueror_Winrate,Conqueror_Pickrate,Conqueror_Games,Dark Harvest_Winrate,Dark Harvest_Pickrate,Dark Harvest_Games,Electrocute_Winrate,Electrocute_Pickrate,Electrocute_Games,First Strike_Winrate,First Strike_Pickrate,First Strike_Games,Fleet Footwork_Winrate,Fleet Footwork_Pickrate,Fleet Footwork_Games,Glacial Augment_Winrate,Glacial Augment_Pickrate,Glacial Augment_Games,Grasp of the Undying_Winrate,Grasp of the Undying_Pickrate,Grasp of the Undying_Games,Guardian_Winrate,Guardian_Pickrate,Guardian_Games,Hail of Blades_Winrate,Hail of Blades_Pickrate,Hail of Blades_Games,Lethal Tempo_Winrate,Lethal Tempo_Pickrate,Lethal Tempo_Games,Phase Rush_Winrate,Phase Rush_Pickrate,Phase Rush_Games,Press the Attack_Winrate,Press the Attack_Pickrate,Press the Attack_Games,Summon Aery_Winrate,Summon Aery_Pickrate,Summon Aery_Games,Unsealed Spellbook_Winrate,Unsealed Spellbook_Pickrate,Unsealed Spellbook_Games
Aatrox,52.89,39.1,0.0,46,47.2,0.1,72,53.0,96.3,"126,013",50.9,1.7,"2,180",49.7,0.3,394,55.6,0.0,45,50.0,0.1,78,58.4,0.1,77,55.6,1.0,"1,301",25.0,0.0,8,45.7,0.1,129,41.5,0.2,217,54.1,0.1,135,40.0,0.1,120,34.2,0.0,38,47.6,0.0,21
Ahri,50.84,46.9,0.0,64,52.9,1.2,"1,849",52.8,0.8,"1,215",50.6,54.5,"86,336",51.2,41.9,"66,389",49.8,0.2,281,44.5,0.1,110,56.0,0.1,134,53.8,0.2,314,50.0,0.0,18,41.9,0.1,93,43.5,0.3,499,51.1,0.2,362,38.9,0.1,167,52.5,0.4,623,52.6,0.0,38
Akali,41.44,,,,36.3,0.1,91,42.5,54.1,"59,254",41.5,8.1,"8,846",39.5,34.7,"38,001",32.4,0.1,74,40.7,0.3,339,,,,47.3,2.2,"2,400",30.0,0.0,10,33.9,0.1,56,30.6,0.1,147,45.9,0.1,61,30.0,0.1,70,32.2,0.1,59,31.6,0.0,19
Akshan,48.96,,,,37.2,0.1,86,47.7,0.4,331,48.6,2.3,"1,819",51.1,0.5,368,55.5,0.3,209,48.9,0.6,444,,,,48.5,0.3,266,50.0,0.0,10,51.2,0.2,121,48.2,18.4,"14,795",37.0,0.0,27,49.2,76.9,"61,821",47.7,0.1,44,26.7,0.0,15
Alistar,50.92,51.7,71.2,"60,655",36.2,0.2,210,43.4,0.3,221,37.7,3.2,"2,709",39.6,2.4,"2,057",40.8,0.1,76,42.9,0.0,35,48.4,0.9,756,53.2,16.4,"13,954",47.5,0.3,236,26.4,0.1,53,39.9,0.2,138,48.3,4.5,"3,850",40.0,0.1,45,52.1,0.1,73,50.6,0.2,160
Amumu,48.75,51.8,67.9,"42,744",47.4,0.4,249,48.4,3.3,"2,097",40.5,23.6,"14,889",44.4,1.1,662,50.7,0.2,142,56.5,0.0,23,46.7,0.2,135,49.5,2.3,"1,441",61.4,0.1,57,54.3,0.1,35,31.6,0.2,98,42.9,0.4,238,45.2,0.1,62,35.1,0.1,77,65.0,0.0,20
Anivia,49.53,62.2,0.1,74,49.6,25.7,"19,761",54.7,0.7,543,49.4,56.3,"43,225",49.4,13.9,"10,660",47.5,0.2,120,66.7,0.0,24,50.0,0.5,386,50.0,0.5,396,44.8,0.0,29,48.5,0.0,33,35.7,0.2,154,51.9,1.2,932,41.2,0.1,51,52.2,0.4,316,49.2,0.1,65
Annie,50.79,35.3,0.1,51,53.9,1.8,"1,386",45.0,0.2,191,51.4,77.2,"59,268",47.9,17.6,"13,504",52.7,0.5,406,41.4,0.0,29,52.1,0.1,94,45.9,0.2,135,52.9,0.0,17,44.7,0.0,38,34.2,0.2,190,54.2,0.9,659,,,,55.2,0.9,723,54.5,0.0,22
Aphelios,53.59,52.4,0.0,21,47.6,0.1,82,55.2,20.2,"30,121",47.8,1.3,"1,992",51.8,0.1,114,61.5,0.2,288,56.3,1.3,"2,000",33.3,0.0,6,55.7,0.1,115,37.5,0.0,8,48.3,0.1,176,51.9,54.5,"81,139",46.2,0.0,39,56.5,21.9,"32,671",32.6,0.0,46,51.7,0.0,29
Ashe,53.03,34.0,0.0,47,42.3,23.2,"43,556",52.8,0.2,305,41.2,3.7,"6,876",40.9,0.1,137,39.0,0.2,377,57.3,0.1,255,42.2,0.0,64,55.6,0.1,180,50.0,0.0,18,50.2,0.3,504,57.4,68.6,"128,965",46.7,0.0,60,53.0,3.4,"6,419",41.2,0.1,199,48.6,0.0,35
Aurelion Sol,47.78,35.9,0.0,39,52.3,15.0,"16,319",42.6,0.7,799,47.1,73.5,"80,124",37.2,0.1,113,46.9,9.8,"10,664",44.1,0.0,34,30.0,0.0,30,37.6,0.1,109,48.1,0.0,27,26.4,0.0,53,45.5,0.1,99,54.5,0.1,145,36.1,0.1,72,48.5,0.3,379,54.2,0.0,24
Azir,48.81,44.4,0.0,36,46.7,0.6,689,48.5,10.8,"12,267",48.0,9.2,"10,508",47.6,0.3,330,49.5,0.1,103,46.3,0.1,149,35.3,0.0,17,55.7,1.4,"1,566",38.5,0.0,13,47.9,0.6,726,48.9,76.5,"87,041",38.7,0.1,62,50.5,0.2,186,48.8,0.1,127,52.6,0.0,19
Bard,46.87,42.1,0.2,140,48.0,1.1,902,39.8,0.2,171,45.1,43.8,"34,528",49.9,28.3,"22,353",36.6,0.2,145,48.2,0.7,568,45.9,0.6,499,48.6,4.5,"3,534",50.8,1.7,"1,324",46.1,1.8,"1,429",45.1,5.2,"4,075",44.0,0.2,184,45.4,8.5,"6,744",48.1,2.3,"1,798",45.4,0.7,513
Bel'Veth,53.64,53.6,0.2,56,41.7,0.2,60,54.1,63.5,"22,063",39.2,1.5,513,50.0,0.1,34,44.4,0.1,27,45.5,0.1,22,45.5,0.0,11,58.7,1.5,518,,,,66.7,0.1,18,53.6,28.2,"9,810",27.8,0.1,18,51.4,4.5,"1,575",41.7,0.0,12,42.9,0.0,7
Blitzcrank,49.07,53.1,54.7,"95,690",45.1,0.5,814,46.1,0.2,395,42.1,33.0,"57,743",45.1,1.4,"2,531",39.5,0.3,602,41.9,0.1,93,51.6,4.5,"7,938",53.4,2.5,"4,333",57.5,0.7,"1,229",35.4,0.2,390,37.7,0.2,395,49.8,0.7,"1,244",41.8,0.1,182,49.1,0.1,234,52.4,0.6,972
Brand,53.1,38.0,0.0,50,54.1,16.8,"21,846",51.1,0.8,985,52.9,80.7,"105,176",52.0,0.4,494,52.9,0.4,510,54.1,0.0,37,51.1,0.0,47,53.3,0.1,137,31.3,0.0,16,42.6,0.0,61,44.7,0.1,170,56.1,0.2,221,45.1,0.1,82,55.9,0.4,517,53.1,0.0,32
Braum,52.2,51.6,2.5,"1,284",39.0,0.2,100,44.6,0.3,130,36.0,0.4,211,45.3,0.1,53,28.6,0.0,14,41.4,0.1,29,52.5,0.4,217,52.1,27.9,"14,202",52.8,66.3,"33,765",43.1,0.5,246,36.0,0.6,314,33.8,0.1,65,42.6,0.1,54,46.2,0.1,39,46.8,0.3,173
Briar,54.22,51.9,5.1,"2,061",32.3,0.1,31,54.6,78.5,"31,624",32.8,1.9,769,33.6,0.3,116,31.6,0.1,38,50.0,0.1,26,30.0,0.0,20,57.2,3.3,"1,342",60.0,0.0,5,51.2,2.3,939,53.1,1.3,537,16.7,0.1,24,59.7,6.8,"2,733",40.0,0.0,10,40.0,0.0,10
Caitlyn,53.77,45.8,0.0,48,44.4,0.1,205,51.6,0.2,378,48.7,23.3,"46,942",51.9,0.1,189,56.4,1.7,"3,506",56.6,3.5,"7,103",33.3,0.0,15,45.9,0.1,233,35.7,0.0,14,50.5,0.3,626,56.8,29.2,"58,661",45.7,0.0,70,54.3,41.2,"82,939",47.3,0.1,131,50.0,0.0,36
Camille,50.36,41.0,0.4,200,46.4,0.1,56,49.2,64.3,"30,579",40.9,0.7,337,45.7,0.2,94,43.8,0.1,32,51.3,0.6,265,63.6,0.0,11,53.6,30.8,"14,672",28.6,0.0,7,39.2,0.6,273,49.2,0.1,65,44.6,0.1,56,49.3,1.9,886,38.9,0.0,18,25.0,0.0,16
Cassiopeia,50.36,12.5,0.0,16,50.4,1.0,567,50.7,85.6,"48,521",47.8,10.5,"5,961",52.1,0.2,140,54.2,0.0,24,48.0,0.0,25,58.3,0.0,12,45.8,0.1,59,37.5,0.0,8,37.0,0.0,27,47.0,0.2,115,50.5,1.9,"1,061",54.3,0.1,46,47.5,0.2,118,63.6,0.0,11
Cho'Gath,51.56,50.3,1.3,"1,349",49.1,3.8,"4,106",47.4,0.3,327,44.5,15.9,"17,113",47.3,0.2,182,32.3,0.1,96,46.7,0.0,45,49.2,0.8,886,53.4,73.5,"79,238",54.5,0.1,154,49.3,3.1,"3,383",47.8,0.1,159,49.0,0.5,586,45.7,0.1,70,40.9,0.1,66,50.0,0.0,44
Corki,49.19,,,,44.2,0.3,292,54.0,20.5,"21,050",47.6,46.9,"48,110",49.0,0.2,251,47.6,12.1,"12,390",52.9,2.0,"2,094",,,,50.2,0.2,209,55.6,0.0,9,48.0,14.4,"14,831",54.3,1.6,"1,598",41.5,0.0,41,48.9,1.6,"1,679",45.2,0.1,73,30.4,0.0,23
Darius,53.63,55.1,0.4,343,48.6,0.1,74,53.4,86.9,"77,335",42.8,1.1,982,45.2,0.1,104,50.0,0.0,40,50.0,0.2,144,56.4,0.1,55,58.3,8.3,"7,395",26.7,0.0,15,42.7,0.7,621,50.0,0.3,226,55.4,1.6,"1,435",48.5,0.2,169,48.1,0.0,27,47.8,0.0,23
Diana,49.88,40.9,0.2,127,41.0,0.2,188,51.8,55.0,"42,149",46.2,35.1,"26,860",48.4,4.1,"3,122",53.9,0.3,256,43.8,0.0,16,41.7,0.0,12,58.1,3.8,"2,893",46.7,0.0,15,38.8,0.1,85,46.6,0.2,163,53.8,0.7,572,35.4,0.1,48,44.0,0.1,50,44.4,0.0,9
Draven,48.45,50.0,0.0,20,31.6,0.1,76,48.6,1.7,"1,649",47.8,43.7,"42,582",41.5,0.1,82,50.4,0.1,127,46.6,0.9,878,42.9,0.0,7,39.0,0.1,123,50.0,0.0,6,46.7,13.2,"12,855",52.7,16.5,"16,048",36.1,0.0,36,47.8,23.5,"22,885",40.6,0.0,32,38.5,0.0,13
Dr. Mundo,52.3,,,,38.8,0.5,348,45.4,6.8,"4,637",40.6,0.5,325,41.5,0.1,65,44.8,0.1,58,43.9,0.3,171,,,,53.1,91.0,"61,662",47.5,0.1,80,42.4,0.0,33,41.5,0.2,135,44.9,0.2,107,40.0,0.1,50,26.8,0.1,41,60.0,0.0,15
Ekko,49.15,53.5,0.1,86,50.3,0.4,300,50.9,0.8,654,49.1,74.5,"61,244",48.0,16.3,"13,378",48.7,0.2,191,58.7,0.1,63,33.3,0.0,9,52.9,3.8,"3,105",47.4,0.0,19,50.3,3.0,"2,506",42.3,0.2,149,51.3,0.5,374,50.9,0.1,57,41.0,0.0,39,33.3,0.0,21
Elise,49.66,37.3,0.2,59,49.4,7.5,"2,906",52.9,1.0,391,49.6,81.8,"31,797",50.1,6.3,"2,441",54.7,0.4,161,41.7,0.0,12,42.3,0.1,26,52.9,2.0,780,25.0,0.0,8,40.0,0.1,20,38.6,0.2,88,42.9,0.1,49,42.7,0.2,82,48.9,0.1,47,42.9,0.0,7
Evelynn,50.01,36.4,0.0,11,40.3,0.3,67,47.4,0.5,135,48.2,48.6,"12,236",51.9,48.9,"12,320",55.8,0.8,190,42.9,0.0,7,33.3,0.0,9,37.5,0.2,40,66.7,0.0,3,11.1,0.0,9,40.0,0.2,40,54.9,0.3,71,28.6,0.1,21,47.8,0.1,23,25.0,0.0,4
Ezreal,51.24,,,,46.7,0.4,852,52.3,73.1,"162,616",46.2,16.6,"36,881",44.2,0.2,378,48.7,0.8,"1,828",50.8,0.4,890,,,,50.1,0.5,"1,165",50.0,0.0,16,41.7,0.0,84,52.5,2.7,"6,025",43.6,0.0,78,52.7,5.1,"11,450",46.8,0.1,190,38.5,0.0,26
Fiddlesticks,52.58,53.5,1.5,"1,358",55.9,1.9,"1,764",50.0,0.8,734,52.5,85.1,"79,098",56.7,0.8,751,52.6,8.8,"8,219",51.7,0.0,29,63.3,0.2,169,44.7,0.2,152,54.2,0.0,24,42.9,0.0,35,48.3,0.1,116,48.0,0.3,269,36.7,0.1,60,43.7,0.1,119,34.5,0.0,29
Fiora,51.8,53.8,0.0,13,31.7,0.1,41,52.6,82.5,"30,205",43.8,0.7,251,50.7,0.2,67,40.0,0.1,25,53.7,0.6,227,0.0,0.0,4,48.3,13.3,"4,862",0.0,0.0,2,54.3,0.1,35,41.6,0.3,101,54.0,0.2,63,48.4,1.8,677,50.0,0.1,20,12.5,0.0,8
Fizz,48.56,44.4,0.0,36,37.9,0.3,206,43.8,0.7,537,47.8,47.2,"36,021",48.7,28.4,"21,662",54.9,0.2,182,46.3,0.1,41,50.0,0.0,6,50.4,22.4,"17,114",50.0,0.0,6,37.3,0.1,59,43.2,0.2,118,48.2,0.2,141,40.5,0.2,173,50.9,0.1,55,33.3,0.0,12
Galio,52.57,53.6,76.6,"67,058",49.1,0.5,477,50.6,0.5,419,45.9,12.0,"10,470",48.7,0.7,647,47.3,0.1,93,60.9,0.0,23,54.3,0.2,140,55.1,5.4,"4,736",50.0,0.1,118,40.5,0.0,37,41.7,0.1,103,51.2,3.5,"3,062",44.4,0.1,45,27.1,0.1,59,53.3,0.1,45
Gangplank,51.58,,,,56.0,3.6,"4,858",50.1,0.3,415,51.1,77.0,"102,968",40.8,0.1,184,52.6,16.7,"22,348",55.6,0.8,"1,028",,,,53.3,1.0,"1,393",33.3,0.0,9,50.9,0.1,116,51.5,0.1,169,50.0,0.1,70,38.5,0.1,78,52.5,0.1,99,50.0,0.0,12
Garen,52.02,,,,42.6,0.1,61,52.7,79.2,"53,301",42.0,1.3,847,33.6,0.2,140,35.7,0.2,112,47.0,0.2,168,,,,50.4,13.2,"8,890",51.4,0.1,35,39.2,0.1,79,41.2,0.3,194,50.3,4.9,"3,330",43.1,0.2,102,58.8,0.1,34,39.3,0.0,28
Gnar,53.71,50.5,0.1,103,44.4,0.1,90,52.3,31.5,"22,544",45.7,0.7,536,42.9,0.1,84,48.0,0.0,25,55.1,22.1,"15,803",16.7,0.0,6,54.7,42.6,"30,492",72.7,0.0,22,39.3,0.2,117,47.0,1.5,"1,078",51.7,0.1,58,49.6,0.8,571,46.2,0.0,26,57.1,0.0,21
Gragas,52.22,58.0,3.2,"3,506",54.0,1.6,"1,794",52.4,0.2,246,49.8,62.9,"69,032",54.2,2.9,"3,128",50.5,0.4,392,46.5,0.0,43,62.5,0.1,72,56.6,22.7,"24,874",56.0,0.0,50,42.3,0.0,52,37.7,0.1,130,57.1,5.7,"6,251",35.5,0.1,62,49.4,0.1,81,46.4,0.0,28
Graves,47.39,,,,35.5,0.3,290,47.3,6.8,"7,358",47.4,76.3,"82,383",47.0,0.3,368,53.2,0.1,156,48.0,15.0,"16,182",,,,46.2,0.3,346,25.0,0.0,4,43.0,0.2,200,45.1,0.3,297,46.9,0.1,98,43.1,0.2,197,31.8,0.0,44,41.7,0.0,12
Gwen,50.6,,,,40.6,0.1,69,50.8,93.7,"48,398",48.2,1.0,521,46.1,0.1,76,59.5,0.4,195,65.5,0.1,29,,,,54.5,0.8,402,40.0,0.0,5,46.4,0.1,69,47.5,0.8,434,43.0,0.3,149,45.5,2.4,"1,265",36.0,0.0,25,50.0,0.0,8
Hecarim,49.07,44.9,0.3,89,38.9,0.1,36,49.9,84.1,"28,672",35.4,1.3,435,42.4,0.3,99,28.6,0.1,21,30.3,0.1,33,22.2,0.0,9,43.8,1.0,356,14.3,0.0,7,23.1,0.1,26,35.5,0.2,62,46.7,12.3,"4,183",46.2,0.1,39,43.8,0.0,16,16.7,0.0,12
Heimerdinger,49.56,36.4,0.1,33,51.1,45.3,"27,287",53.6,3.4,"2,076",47.8,49.1,"29,575",55.3,0.4,257,52.7,0.2,150,51.9,0.0,27,65.0,0.1,60,51.0,0.2,104,57.1,0.0,7,36.4,0.1,33,45.3,0.2,117,47.5,0.1,80,44.7,0.1,76,52.6,0.6,390,52.2,0.0,23
Hwei,53.65,41.9,0.0,31,56.7,26.2,"35,185",58.2,0.7,979,52.4,70.6,"94,694",54.9,0.3,448,55.6,0.8,"1,087",40.9,0.0,22,71.9,0.0,32,50.7,0.1,71,42.9,0.0,14,46.7,0.0,30,45.7,0.1,140,61.6,0.2,263,49.0,0.0,49,60.1,0.8,"1,087",62.5,0.0,32
Illaoi,50.55,,,,39.2,0.1,51,49.9,71.6,"36,589",37.7,1.2,616,30.0,0.1,50,41.9,0.2,105,46.5,0.1,43,,,,53.2,26.3,"13,448",30.8,0.0,13,43.9,0.1,41,46.4,0.1,69,20.0,0.0,20,32.4,0.1,37,29.2,0.0,24,28.6,0.0,14
Irelia,54.59,51.4,0.0,35,40.2,0.4,333,55.7,89.5,"78,385",41.0,4.5,"3,896",42.3,0.6,551,46.1,0.6,549,44.2,0.0,43,35.7,0.0,14,48.9,0.5,407,50.0,0.0,8,48.0,0.1,50,49.9,1.3,"1,096",42.4,0.1,66,50.2,2.4,"2,061",28.6,0.0,35,43.8,0.0,16
Ivern,54.21,42.2,0.1,64,48.7,0.7,417,41.2,0.2,102,45.3,11.3,"6,370",32.8,0.1,64,50.0,0.1,34,18.8,0.0,16,55.7,1.1,636,42.3,0.5,298,52.6,0.8,435,36.1,0.1,36,40.4,0.5,292,44.6,0.1,56,46.2,1.9,"1,048",56.0,82.3,"46,243",50.6,0.1,79
Janna,54.74,40.8,0.1,49,51.0,21.7,"15,977",51.1,0.1,94,47.3,2.4,"1,788",37.8,0.1,82,43.3,0.1,97,37.5,0.0,24,55.6,57.1,"41,956",31.0,0.2,116,56.3,0.4,277,33.3,0.1,39,28.9,0.5,395,53.2,0.1,79,36.7,0.1,90,59.3,16.8,"12,330",44.7,0.2,132
Jarvan IV,48.43,52.2,0.8,836,39.0,0.2,213,50.8,58.3,"62,318",43.5,23.8,"25,473",45.2,11.0,"11,762",48.4,0.3,285,48.1,0.0,52,51.1,0.0,47,53.3,4.0,"4,327",54.0,0.1,63,39.8,0.5,505,45.6,0.3,285,42.5,0.2,174,47.0,0.1,115,40.3,0.4,474,40.0,0.0,15
Jax,53.88,54.9,0.3,286,41.4,0.1,87,54.5,76.2,"64,543",40.4,2.8,"2,360",44.1,1.3,"1,113",47.6,0.2,170,53.3,0.1,107,26.1,0.0,23,57.3,6.6,"5,623",63.2,0.0,19,48.8,0.2,170,55.4,6.1,"5,154",44.1,2.2,"1,850",53.0,3.8,"3,201",30.0,0.0,30,47.1,0.0,17
Jayce,50.39,48.7,0.0,39,54.0,0.9,"1,435",51.4,4.8,"7,648",49.9,76.8,"121,095",48.5,0.4,680,52.2,14.4,"22,781",48.2,0.1,83,22.2,0.0,9,48.3,0.6,927,30.8,0.0,13,39.7,0.1,116,41.0,0.1,229,53.1,1.3,"2,045",46.6,0.1,219,56.7,0.3,423,45.5,0.0,22
Jhin,54.15,51.0,0.0,49,56.5,0.4,992,51.5,0.2,412,54.2,67.1,"159,545",48.0,0.1,179,54.6,0.1,269,54.1,31.2,"74,206",51.1,0.0,45,49.3,0.1,205,40.0,0.0,10,51.2,0.2,590,49.6,0.3,647,51.6,0.0,95,51.2,0.1,289,48.1,0.1,129,48.5,0.0,33
Jinx,55.19,45.7,0.0,46,52.2,0.3,747,49.4,0.2,451,47.4,9.2,"19,941",37.7,0.1,122,46.0,0.1,224,53.5,0.3,555,58.8,0.0,17,43.4,0.1,136,41.7,0.0,12,45.5,0.1,209,56.3,86.1,"186,374",52.1,0.0,48,51.2,3.5,"7,584",46.3,0.0,82,50.0,0.0,30
