Champion,Overall_Winrate,Aftershock_Winrate,Aftershock_Pickrate,Aftershock_Games,Arcane Comet_Winrate,Arcane Comet_Pickrate,Arcane Comet_Games,Conqueror_Winrate,Conqueror_Pickrate,Conqueror_Games,Dark Harvest_Winrate,Dark Harvest_Pickrate,Dark Harvest_Games,Electrocute_Winrate,Electrocute_Pickrate,Electrocute_Games,First Strike_Winrate,First Strike_Pickrate,First Strike_Games,Fleet Footwork_Winrate,Fleet Footwork_Pickrate,Fleet Footwork_Games,Glacial Augment_Winrate,Glacial Augment_Pickrate,Glacial Augment_Games,Grasp of the Undying_Winrate,Grasp of the Undying_Pickrate,Grasp of the Undying_Games,Guardian_Winrate,Guardian_Pickrate,Guardian_Games,Hail of Blades_Winrate,Hail of Blades_Pickrate,Hail of Blades_Games,Lethal Tempo_Winrate,Lethal Tempo_Pickrate,Lethal Tempo_Games,Phase Rush_Winrate,Phase Rush_Pickrate,Phase Rush_Games,Press the Attack_Winrate,Press the Attack_Pickrate,Press the Attack_Games,Summon Aery_Winrate,Summon Aery_Pickrate,Summon Aery_Games,Unsealed Spellbook_Winrate,Unsealed Spellbook_Pickrate,Unsealed Spellbook_Games
Kai'Sa,48.94,,,,47.0,1.3,"3,001",46.3,0.2,361,47.3,36.5,"81,753",46.1,0.1,165,52.8,1.1,"2,574",47.5,0.1,263,,,,46.3,0.1,175,33.3,0.0,15,47.5,1.2,"2,710",50.0,58.3,"130,464",47.8,0.0,67,48.4,0.9,"2,119",48.3,0.1,209,46.4,0.0,28
Kalista,54.16,46.7,0.0,15,38.8,0.1,67,51.1,0.2,184,42.5,2.7,"2,409",47.0,0.1,83,40.0,0.0,35,57.5,0.1,106,50.0,0.0,6,54.5,0.2,145,0.0,0.0,2,47.8,10.1,"8,937",55.5,83.0,"73,674",36.4,0.0,33,51.2,3.4,"3,013",48.4,0.0,31,41.7,0.0,12
Karma,50.48,48.4,0.1,126,51.3,29.8,"37,069",44.1,0.2,272,48.8,54.4,"67,720",40.5,0.2,190,51.3,0.4,478,38.5,0.0,39,61.9,0.0,42,42.3,1.7,"2,156",56.7,0.3,372,44.2,0.0,43,48.1,0.1,162,47.6,0.1,168,40.6,0.1,64,57.0,12.5,"15,497",58.7,0.1,63
Karthus,51,,,,51.9,1.6,"1,321",62.7,2.0,"1,569",50.8,85.2,"68,565",46.0,0.2,124,50.5,10.3,"8,310",50.0,0.0,20,,,,44.6,0.1,112,53.8,0.0,13,25.8,0.0,31,41.0,0.1,105,55.7,0.1,61,39.3,0.1,56,50.3,0.2,155,12.5,0.0,8
Kassadin,49.92,,,,46.2,0.7,385,51.9,28.9,"15,152",49.6,53.3,"27,972",47.0,13.6,"7,156",51.5,0.4,231,55.0,0.9,464,,,,54.0,1.0,511,58.8,0.0,17,34.6,0.0,26,36.4,0.2,99,49.5,0.5,277,28.6,0.1,42,50.7,0.3,138,33.3,0.0,9
Katarina,45.89,,,,36.7,0.1,79,47.8,56.5,"69,780",43.7,31.0,"38,302",41.2,9.8,"12,137",43.9,0.2,271,43.3,0.0,30,,,,50.3,0.7,885,40.0,0.0,10,42.2,0.0,45,49.0,1.4,"1,761",40.6,0.0,32,43.3,0.1,97,50.0,0.0,56,20.0,0.0,10
Kayle,55.62,,,,50.8,0.2,238,55.9,0.4,431,50.0,1.0,"1,012",47.9,0.1,94,55.5,0.2,164,54.7,0.7,728,,,,48.6,0.2,214,46.7,0.0,45,50.9,0.2,220,55.9,80.8,"79,808",51.1,0.1,90,55.4,14.0,"13,810",51.0,1.9,"1,841",42.9,0.0,21
Kayn,49.1,57.5,0.1,40,37.6,0.1,93,50.4,66.6,"46,736",46.4,31.1,"21,811",51.4,0.7,459,55.3,0.5,356,30.8,0.0,26,33.3,0.0,6,44.2,0.4,267,14.3,0.0,7,45.7,0.1,81,41.6,0.1,89,43.8,0.1,64,36.4,0.1,55,44.8,0.0,29,30.0,0.0,10
Kennen,51.75,43.7,0.1,71,52.0,6.2,"5,742",55.4,0.5,437,51.8,84.1,"77,543",53.8,4.5,"4,112",57.8,0.9,861,46.6,0.1,58,31.8,0.0,22,51.9,0.2,158,30.0,0.0,10,50.7,0.1,69,39.0,1.8,"1,629",55.6,1.1,"1,042",39.7,0.2,189,56.3,0.3,270,40.7,0.0,27
Kha'Zix,46.73,,,,53.1,0.9,847,53.2,1.8,"1,631",46.7,88.5,"80,192",44.0,6.9,"6,271",54.3,0.9,783,48.0,0.0,25,,,,42.3,0.3,234,50.0,0.0,10,40.0,0.1,105,39.8,0.1,103,50.9,0.2,218,30.4,0.1,56,55.8,0.1,120,47.4,0.0,19
Kindred,52.16,,,,42.1,0.1,38,50.3,10.2,"7,209",48.8,0.8,570,33.8,0.1,71,56.0,0.0,25,51.4,0.4,257,,,,37.9,0.3,182,20.0,0.0,5,49.0,0.3,204,52.9,64.3,"45,450",60.0,0.0,20,51.4,23.6,"16,659",25.7,0.0,35,42.9,0.0,7
Kled,53.17,42.9,0.1,21,25.0,0.1,12,52.3,72.9,"13,890",46.0,1.1,215,50.0,0.4,72,33.3,0.1,12,44.4,0.1,18,0.0,0.0,1,57.2,22.0,"4,199",66.7,0.0,3,45.0,0.9,171,54.0,1.1,215,20.0,0.1,10,48.9,1.0,188,60.0,0.1,10,37.5,0.0,8
Kog'Maw,55.03,,,,59.1,7.8,"9,976",55.7,0.2,219,56.2,29.4,"37,613",50.4,0.1,115,57.5,0.3,388,44.6,0.1,121,,,,50.7,0.2,201,60.0,0.0,10,53.3,0.1,184,54.1,59.1,"75,634",56.6,0.1,122,51.6,2.5,"3,203",51.9,0.1,158,47.4,0.0,19
K'Sante,49.42,51.6,19.8,"13,355",22.9,0.1,35,37.2,9.1,"6,105",32.4,0.2,145,24.4,0.1,41,22.2,0.0,9,42.1,0.0,19,50.0,0.0,12,50.6,70.3,"47,361",38.0,0.1,50,38.9,0.0,18,29.6,0.1,81,25.0,0.0,24,23.7,0.1,38,26.9,0.0,26,35.7,0.0,28
LeBlanc,44.24,28.2,0.0,39,46.2,0.4,520,44.5,0.2,263,44.1,52.2,"68,218",44.7,45.3,"59,146",43.0,0.3,414,36.7,0.4,569,36.4,0.0,11,39.3,0.4,527,50.0,0.0,12,31.7,0.1,120,30.9,0.3,375,46.5,0.1,71,35.1,0.1,171,40.3,0.1,129,29.4,0.0,17
Lee Sin,48,40.3,0.0,62,43.1,0.1,123,50.1,66.6,"110,246",43.5,20.1,"33,275",44.3,11.3,"18,768",45.5,0.1,198,41.5,0.0,53,52.9,0.0,17,48.3,0.4,662,40.4,0.2,394,41.5,0.0,82,33.6,0.1,235,42.9,0.1,126,35.1,0.1,111,45.3,0.7,"1,218",31.3,0.0,32
Leona,52.52,51.4,65.1,"38,157",40.4,0.2,89,44.7,0.5,302,36.7,0.6,332,41.6,0.2,113,40.9,0.0,22,41.7,0.0,24,52.5,0.4,217,55.8,31.9,"18,711",47.3,0.2,146,29.1,0.1,55,43.8,0.2,128,32.0,0.1,50,37.4,0.2,131,38.6,0.1,57,40.5,0.1,42
Lillia,50.21,42.4,0.0,33,48.8,1.2,811,50.8,37.0,"25,093",50.0,59.8,"40,628",55.5,0.2,146,41.4,0.1,70,43.2,0.1,44,60.0,0.0,10,44.5,0.2,110,54.5,0.0,11,50.0,0.0,20,42.2,0.1,83,49.8,1.0,671,46.5,0.1,43,45.5,0.1,99,23.1,0.0,13
Lissandra,51.85,53.2,1.1,"1,056",52.6,3.0,"2,893",51.0,0.3,251,51.9,82.6,"80,612",51.4,12.0,"11,659",59.2,0.2,152,38.5,0.0,39,54.5,0.1,145,48.9,0.2,225,53.8,0.0,13,44.7,0.0,47,33.6,0.1,107,48.6,0.1,105,43.1,0.1,65,47.8,0.2,161,69.2,0.0,26
Lucian,50.26,,,,42.5,0.7,"1,323",55.0,1.2,"2,431",48.3,2.9,"5,667",50.0,0.6,"1,095",51.3,9.1,"17,738",48.7,0.2,388,,,,42.3,0.2,319,33.3,0.0,6,37.3,0.1,134,51.9,2.4,"4,644",46.8,0.1,109,50.2,82.6,"161,472",43.8,0.1,130,39.3,0.0,28
Lulu,51,44.0,0.1,50,44.9,0.9,816,40.7,0.1,118,38.1,1.2,"1,061",42.0,0.4,338,48.7,0.0,39,33.3,0.1,60,51.2,0.0,41,42.9,0.3,280,48.4,0.9,779,40.9,0.0,44,37.0,3.5,"3,180",36.6,0.1,71,37.8,4.7,"4,254",52.7,87.5,"78,649",42.4,0.1,92
Lux,51.7,40.3,0.0,72,53.7,20.4,"33,415",47.8,0.2,289,51.2,77.3,"126,953",51.3,0.5,821,53.2,0.5,760,47.8,0.0,67,46.3,0.1,95,35.8,0.1,106,62.8,0.0,43,44.1,0.0,59,42.8,0.1,215,40.3,0.0,77,50.4,0.1,125,57.6,0.6,"1,066",45.2,0.0,31
Malphite,47.69,56.7,1.0,"1,299",48.4,2.7,"3,505",41.7,0.2,300,44.7,69.7,"90,243",46.1,2.5,"3,205",43.5,0.6,735,36.5,0.0,52,39.6,0.0,48,57.0,21.8,"28,253",57.5,0.1,153,41.1,0.1,185,39.7,0.2,239,49.3,0.7,892,45.1,0.1,142,41.9,0.1,93,35.1,0.0,37
Malzahar,53.19,50.0,0.0,50,53.7,24.9,"25,916",50.7,0.4,377,53.0,57.3,"59,567",53.9,0.2,191,50.9,0.3,287,41.2,0.0,34,59.3,0.0,27,48.1,0.1,108,61.1,0.0,18,51.3,0.0,39,48.9,0.1,133,46.0,0.2,163,44.8,0.1,67,53.5,16.4,"17,040",56.7,0.0,30
Maokai,53.03,54.7,29.3,"21,661",46.4,17.5,"12,915",42.9,0.3,231,46.1,3.0,"2,200",34.2,0.1,76,48.2,0.5,340,54.5,0.0,22,51.1,0.1,88,55.0,48.1,"35,571",54.5,0.1,101,40.0,0.0,35,47.2,0.1,89,55.3,0.6,445,48.6,0.1,37,48.5,0.1,99,43.6,0.1,39
Master Yi,50.29,,,,26.8,0.1,41,47.6,1.9,"1,298",42.9,1.7,"1,165",39.2,0.1,97,41.7,0.1,36,39.3,0.1,61,,,,40.5,1.0,679,34.8,0.0,23,50.7,50.9,"34,913",52.5,27.8,"19,095",37.0,0.1,54,47.3,16.2,"11,110",21.9,0.0,32,64.3,0.0,14
Milio,53.28,48.4,0.0,31,43.7,18.9,"14,806",32.0,0.1,75,44.3,6.3,"4,951",44.1,0.1,102,44.4,0.3,250,28.6,0.0,21,48.7,0.2,158,36.8,0.1,106,47.6,0.5,374,32.0,0.0,25,27.6,0.2,185,29.5,0.1,44,29.5,0.1,44,56.9,72.8,"56,904",52.9,0.1,68
Miss Fortune,50.5,,,,50.9,11.5,"20,080",53.3,0.4,674,49.6,59.5,"103,868",41.7,0.1,180,52.6,1.3,"2,252",50.9,0.4,666,,,,47.8,0.1,161,46.2,0.0,13,46.3,0.1,188,51.9,2.2,"3,905",49.1,0.0,57,52.2,24.3,"42,502",50.4,0.1,139,47.6,0.0,21
Mordekaiser,52.57,48.7,0.1,76,46.0,2.1,"1,784",53.0,93.8,"79,687",44.3,0.8,679,44.1,0.1,127,31.8,0.0,22,47.4,0.0,38,42.9,0.0,14,52.2,1.1,893,42.1,0.0,19,42.8,0.4,304,41.6,1.1,918,44.8,0.3,221,36.4,0.1,99,36.4,0.1,44,35.0,0.0,20
Morgana,53.79,55.8,0.1,120,55.9,24.6,"36,399",48.7,0.3,374,53.0,72.2,"106,847",49.8,0.2,259,54.2,0.3,476,39.1,0.0,46,59.9,0.9,"1,293",48.1,0.1,183,45.8,0.0,72,41.7,0.0,60,45.5,0.1,167,53.0,0.1,200,48.8,0.1,80,56.1,0.9,"1,406",58.5,0.0,65
Naafiri,48.52,,,,48.4,0.3,188,52.8,20.9,"11,451",47.8,14.9,"8,179",47.0,54.8,"29,988",49.1,7.8,"4,257",45.0,0.0,20,,,,45.1,0.2,113,100.0,0.0,3,51.4,0.6,348,46.2,0.1,78,37.8,0.1,45,55.9,0.1,34,60.0,0.0,20,50.0,0.0,4
Nami,54.75,42.5,0.0,40,51.6,1.5,"1,348",46.0,0.1,126,46.3,13.3,"11,848",48.3,0.8,704,40.6,0.4,360,54.8,0.0,31,52.7,0.2,188,46.8,0.1,94,52.9,0.3,291,35.0,0.0,40,37.0,0.2,208,53.4,0.1,58,39.2,0.1,74,56.4,82.6,"73,374",52.5,0.1,80
Nasus,53.3,,,,46.5,4.7,"2,262",55.0,4.4,"2,119",43.8,17.8,"8,614",39.0,0.1,41,50.5,0.4,200,57.0,28.8,"13,936",,,,55.9,40.1,"19,392",59.7,0.1,72,37.9,0.1,29,43.7,0.4,199,51.6,2.2,"1,052",50.8,0.1,61,43.0,0.7,316,50.0,0.2,76
Nautilus,53.5,53.9,57.5,"50,374",39.7,0.2,214,46.5,0.4,314,35.7,1.8,"1,576",35.9,0.6,521,34.6,0.0,26,37.0,0.0,27,44.8,7.9,"6,926",56.9,30.5,"26,748",55.4,0.3,242,38.7,0.1,75,41.8,0.2,146,47.2,0.2,144,33.3,0.1,54,47.8,0.1,67,41.2,0.1,114
Neeko,50.86,55.3,0.1,152,52.9,4.1,"4,630",44.1,0.2,220,50.9,82.5,"92,120",50.4,10.5,"11,755",52.0,0.2,196,36.8,0.0,38,58.6,0.2,273,51.3,0.2,238,38.9,0.0,18,38.6,0.1,57,44.6,1.2,"1,334",57.5,0.2,200,42.9,0.2,247,52.5,0.1,158,49.1,0.0,55
Nidalee,52.18,,,,52.3,7.6,"11,923",48.0,0.9,"1,397",52.3,88.4,"139,635",51.0,0.4,688,54.0,0.7,"1,064",44.3,0.0,70,,,,45.1,0.4,663,36.4,0.0,33,44.3,0.0,70,42.9,0.3,524,45.7,0.1,105,43.8,0.1,178,55.2,1.0,"1,510",42.4,0.0,33
Nilah,55.52,46.7,0.0,15,42.2,0.1,45,56.2,91.7,"45,741",47.3,0.6,283,45.8,0.1,48,61.9,0.0,21,36.7,0.1,60,0.0,0.0,3,36.9,0.2,103,40.0,0.0,5,51.4,0.2,109,48.7,2.5,"1,239",54.5,0.0,11,48.5,4.3,"2,142",32.0,0.1,25,71.4,0.0,7
Nocturne,46.31,52.6,0.1,19,52.3,0.2,65,52.8,11.1,"3,752",44.4,42.4,"14,386",41.6,2.4,803,49.3,0.4,138,50.0,0.1,28,50.0,0.0,2,54.1,0.9,320,57.1,0.0,7,45.9,29.3,"9,934",49.4,5.6,"1,904",43.5,0.1,46,46.9,7.3,"2,477",35.3,0.1,17,30.8,0.0,13
Nunu & Willump,46.44,54.2,4.1,"2,294",47.7,0.9,520,53.7,0.3,177,45.7,75.0,"41,913",46.9,0.6,335,45.9,0.4,196,37.5,0.0,24,51.0,0.2,96,53.9,3.3,"1,848",59.4,0.2,133,41.4,0.1,29,40.0,0.2,95,46.2,14.5,"8,090",42.1,0.1,38,42.3,0.1,52,43.1,0.1,51
Olaf,57.32,,,,35.0,0.2,60,58.0,93.1,"27,282",42.5,0.5,160,39.4,0.1,33,25.0,0.1,20,31.0,0.1,29,,,,54.0,0.9,261,22.2,0.0,9,33.9,0.2,62,53.8,1.5,429,40.7,0.2,59,49.8,3.0,888,60.0,0.0,10,37.5,0.0,8
Orianna,50.1,59.1,0.0,44,51.1,17.8,"26,164",46.0,0.3,463,49.0,62.6,"92,110",49.7,1.1,"1,553",47.2,0.3,394,42.3,0.0,52,54.5,0.0,22,44.8,0.1,125,34.6,0.0,26,46.8,0.0,47,42.4,0.2,264,53.0,3.5,"5,203",50.5,0.1,101,53.3,14.0,"20,586",39.1,0.0,23
Ornn,53,52.4,23.9,"18,281",46.5,0.2,155,40.2,0.3,244,40.6,0.5,392,34.7,0.1,72,55.6,0.0,27,46.4,0.0,28,52.1,0.2,117,53.5,73.7,"56,307",48.7,0.2,187,41.2,0.0,34,42.9,0.1,91,54.5,0.2,143,40.0,0.1,45,43.5,0.1,85,44.7,0.2,179
Pantheon,53.21,57.8,0.3,275,47.9,0.1,71,54.6,65.6,"61,644",49.7,18.3,"17,169",51.9,1.1,"1,025",55.1,0.2,156,58.8,0.0,34,45.5,0.0,33,55.1,0.9,874,70.6,0.0,17,47.8,0.2,161,47.8,0.1,115,55.6,0.1,108,51.0,13.0,"12,204",38.2,0.0,34,36.8,0.0,19
Poppy,52.45,50.8,22.8,"13,487",40.0,0.1,45,48.4,1.2,697,37.7,1.5,883,40.2,0.5,321,13.6,0.0,22,46.2,0.0,26,46.9,0.1,49,53.6,72.1,"42,725",43.7,0.1,71,42.6,0.4,265,35.9,0.1,78,50.0,0.7,442,43.5,0.1,46,48.0,0.0,25,45.8,0.1,72
Pyke,47.94,50.9,0.9,"1,396",47.9,0.1,140,41.6,0.3,418,46.8,52.7,"84,669",46.3,0.7,"1,089",51.8,0.1,114,56.4,0.1,234,52.4,0.7,"1,083",48.2,0.2,253,67.9,0.0,56,49.3,43.8,"70,329",42.4,0.1,224,56.8,0.2,322,41.5,0.1,118,40.2,0.1,92,44.1,0.1,93
Qiyana,48.3,50.0,0.0,22,37.0,0.1,92,55.0,2.3,"2,365",48.0,77.8,"78,400",47.8,17.5,"17,634",58.8,1.7,"1,758",48.1,0.0,27,75.0,0.0,8,48.3,0.1,120,0.0,0.0,2,45.0,0.1,60,43.2,0.1,111,50.0,0.1,72,49.0,0.0,49,33.3,0.0,24,46.7,0.0,15
Quinn,48.16,35.7,0.1,42,38.3,0.1,60,43.7,0.4,183,46.9,5.2,"2,476",48.0,7.8,"3,735",48.5,0.2,99,49.7,14.4,"6,899",36.0,0.1,25,47.9,0.2,117,28.6,0.0,7,47.5,0.9,442,49.4,7.7,"3,659",49.1,0.1,55,47.9,62.7,"29,993",20.0,0.1,25,50.0,0.0,4
Rakan,50.73,49.9,28.7,"18,391",53.9,0.4,284,44.3,0.3,183,54.8,6.6,"4,217",54.5,2.1,"1,354",45.9,0.1,61,45.0,0.0,20,55.3,1.3,816,49.5,3.6,"2,315",50.3,53.0,"34,022",37.5,0.0,32,41.9,0.1,93,54.0,1.9,"1,191",40.0,0.1,40,56.7,1.2,783,50.6,0.6,354
Rammus,49.7,50.9,82.7,"24,281",38.3,0.2,47,44.9,0.5,136,28.8,1.5,444,31.7,0.3,82,38.5,0.1,26,15.4,0.0,13,32.1,0.1,28,47.1,13.6,"3,989",50.0,0.0,14,20.0,0.1,30,35.0,0.3,80,28.4,0.5,134,29.2,0.1,24,47.6,0.1,21,45.8,0.1,24
Rek'Sai,55.05,52.6,1.3,403,40.5,1.3,400,53.4,27.7,"8,543",35.8,2.6,813,39.5,0.1,43,54.3,0.1,46,40.0,0.0,10,42.9,0.0,14,58.4,56.5,"17,383",14.3,0.0,7,48.6,9.6,"2,954",44.2,0.1,43,47.6,0.1,21,44.3,0.2,70,51.5,0.1,33,0.0,0.0,5
Rell,51.57,51.5,76.6,"44,799",29.3,0.1,75,42.3,0.2,137,38.6,1.2,713,35.4,0.4,223,44.3,0.1,61,42.9,0.0,14,47.8,1.4,836,54.0,18.9,"11,031",48.8,0.2,129,36.4,0.0,22,37.3,0.1,59,43.9,0.4,205,61.1,0.0,18,40.6,0.1,32,44.4,0.2,124
Renata Glasc,52.25,43.6,0.2,172,53.3,1.0,745,48.1,0.1,106,47.5,14.1,"10,563",50.5,0.1,101,27.5,0.1,40,68.2,0.1,66,52.2,1.1,858,47.8,1.3,952,56.0,3.0,"2,235",48.2,0.1,83,39.2,0.7,515,45.5,0.2,134,50.6,0.1,83,53.2,77.5,"58,260",57.0,0.3,256
Renekton,51.98,50.6,0.1,81,47.2,0.1,36,52.3,91.5,"53,485",46.4,0.6,358,42.5,0.2,134,34.5,0.0,29,48.1,0.0,27,14.3,0.0,7,52.9,0.8,473,33.3,0.0,15,41.2,0.1,51,50.0,0.1,84,48.6,0.1,35,49.1,6.2,"3,601",33.3,0.0,18,30.0,0.0,10
Rengar,45.72,36.4,0.0,33,45.2,0.1,42,47.2,32.2,"23,108",43.9,40.6,"29,194",45.2,19.2,"13,813",51.4,0.7,531,57.2,0.7,491,33.3,0.0,6,51.4,5.1,"3,653",44.4,0.0,9,46.7,0.7,467,34.7,0.2,121,41.5,0.3,246,37.9,0.1,95,39.1,0.0,23,27.3,0.0,11
Riven,53.42,44.0,0.2,109,31.8,0.1,44,54.0,90.8,"65,638",48.0,7.1,"5,149",50.6,0.8,563,41.8,0.1,55,45.5,0.1,44,54.5,0.0,11,52.7,0.4,311,33.3,0.0,9,50.5,0.1,103,39.8,0.2,113,58.5,0.1,41,45.8,0.1,72,50.0,0.0,34,25.0,0.0,8
Rumble,51.44,,,,52.5,14.0,"12,903",54.5,2.0,"1,878",51.2,81.8,"75,595",47.7,0.2,216,53.0,1.0,888,50.0,0.0,26,,,,51.6,0.2,213,53.8,0.0,13,41.9,0.0,31,50.5,0.1,107,50.7,0.4,361,46.4,0.1,56,51.5,0.1,136,65.4,0.0,26
Ryze,52.59,49.1,0.1,53,49.2,0.6,506,53.4,33.5,"30,525",49.1,2.4,"2,179",51.0,0.6,563,49.4,0.1,83,47.2,0.0,36,48.7,0.0,39,43.7,0.1,126,20.0,0.0,5,37.0,0.0,27,40.4,0.2,146,52.4,62.1,"56,508",46.2,0.1,52,44.6,0.1,112,50.0,0.0,26
Samira,55.81,32.1,0.0,28,29.5,0.0,78,56.5,91.4,"147,276",48.8,7.8,"12,557",43.4,0.1,159,56.7,0.0,60,44.3,0.0,79,25.0,0.0,12,43.8,0.1,112,33.3,0.0,12,38.9,0.1,95,47.5,0.2,318,36.5,0.0,52,37.0,0.2,265,35.9,0.0,39,22.7,0.0,22
Sejuani,49.37,48.2,47.1,"17,807",35.1,0.4,168,45.1,0.4,153,34.3,2.2,836,37.0,0.5,181,37.5,0.1,40,27.3,0.1,22,27.9,0.2,68,51.8,48.1,"18,167",47.7,0.1,44,48.1,0.1,27,32.8,0.2,64,42.5,0.3,127,33.3,0.1,24,39.3,0.1,28,42.9,0.1,21
